source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"bankbsi","gold","Emas",1,"gr",2772000,2632000,"IDR","2026-05-17",""
"bankbsi","gold","Emas",1,"gr",2772000,2632000,"IDR","2026-05-18",""
"bankbsi","gold","Emas",1,"gr",2767000,2632000,"IDR","2026-05-19",""
"bankbsi","gold","Emas",1,"gr",2785000,2660000,"IDR","2026-05-20",""
"bankbsi","gold","Emas",1,"gr",2760000,2630000,"IDR","2026-05-21",""
"bankbsi","gold","Emas",1,"gr",2790000,2665000,"IDR","2026-05-22",""
"bankbsi","gold","Emas",1,"gr",2778000,2653000,"IDR","2026-05-23",""
"bankbsi","gold","Emas",1,"gr",2765000,2635000,"IDR","2026-05-24",""
"bankbsi","gold","Emas",1,"gr",2765000,2635000,"IDR","2026-05-25",""
"bankbsi","gold","Emas",1,"gr",2790000,2670000,"IDR","2026-05-26",""
