source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"emasku","gold","Gold",1,"gr",2651000,2521000,"IDR","2026-05-17",""
"emasku","gold","Gold",2,"gr",5262000,5042000,"IDR","2026-05-17",""
"emasku","gold","Gold",5,"gr",13075000,12605000,"IDR","2026-05-17",""
"emasku","gold","Gold",10,"gr",26100000,25210000,"IDR","2026-05-17",""
"emasku","gold","Gold",25,"gr",64900000,63025000,"IDR","2026-05-17",""
"emasku","gold","Gold",50,"gr",129750000,126050000,"IDR","2026-05-17",""
"emasku","gold","Gold",100,"gr",259400000,252100000,"IDR","2026-05-17",""
"emasku","gold","Gold",125,"gr",324000000,309250000,"IDR","2026-05-17",""
"emasku","gold","Gold",150,"gr",388650000,371100000,"IDR","2026-05-17",""
"emasku","gold","Gold",175,"gr",453250000,432950000,"IDR","2026-05-17",""
"emasku","gold","Gold",200,"gr",517800000,494800000,"IDR","2026-05-17",""
"emasku","gold","Gold",250,"gr",646750000,604875000,"IDR","2026-05-17",""
"emasku","gold","Gold",500,"gr",1293500000,1209750000,"IDR","2026-05-17",""
"emasku","gold","Gold",1000,"gr",2587000000,2419500000,"IDR","2026-05-17",""
"emasku","gold","Prime",25,"gr",65500000,63025000,"IDR","2026-05-17",""
"emasku","gold","Prime",50,"gr",131000000,126050000,"IDR","2026-05-17",""
"emasku","gold","Prime",100,"gr",262000000,252100000,"IDR","2026-05-17",""
