source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"lakuemas","gold","Laku Emas",1,"gr",2569000,2642000,"IDR","2026-05-17",""
"lakuemas","gold","Laku Emas",1,"gr",2558000,2631000,"IDR","2026-05-18",""
"lakuemas","gold","Laku Emas",1,"gr",2592000,2665000,"IDR","2026-05-19",""
"lakuemas","gold","Laku Emas",1,"gr",2558000,2631000,"IDR","2026-05-20",""
"lakuemas","gold","Laku Emas",1,"gr",2577000,2650000,"IDR","2026-05-21",""
"lakuemas","gold","Laku Emas",1,"gr",2561000,2634000,"IDR","2026-05-22",""
"lakuemas","gold","Laku Emas",1,"gr",2561000,2634000,"IDR","2026-05-23",""
"lakuemas","gold","Laku Emas",1,"gr",2561000,2634000,"IDR","2026-05-24",""
"lakuemas","gold","Laku Emas",1,"gr",2591000,2664000,"IDR","2026-05-25",""
"lakuemas","gold","Laku Emas",1,"gr",2589000,2662000,"IDR","2026-05-26",""
"lakuemas","gold","Laku Emas",1,"gr",2575000,2648000,"IDR","2026-05-27",""
"lakuemas","gold","Laku Emas",1,"gr",2512000,2585000,"IDR","2026-05-28",""
"lakuemas","gold","Laku Emas",1,"gr",2567000,2640000,"IDR","2026-05-29",""
"lakuemas","gold","Laku Emas",1,"gr",2590000,2663000,"IDR","2026-05-30",""
"lakuemas","gold","Laku Emas",1,"gr",2590000,2663000,"IDR","2026-05-31",""
"lakuemas","gold","Laku Emas",1,"gr",2590000,2663000,"IDR","2026-06-01",""
"lakuemas","gold","Laku Emas",1,"gr",2563000,2636000,"IDR","2026-06-02",""
"lakuemas","gold","Laku Emas",1,"gr",2565000,2638000,"IDR","2026-06-03",""
"lakuemas","gold","Laku Emas",1,"gr",2569000,2642000,"IDR","2026-06-04",""
"lakuemas","gold","Laku Emas",1,"gr",2569000,2642000,"IDR","2026-06-05",""
"lakuemas","gold","Laku Emas",1,"gr",2508000,2581000,"IDR","2026-06-06",""
"lakuemas","gold","Laku Emas",1,"gr",2508000,2581000,"IDR","2026-06-07",""
"lakuemas","gold","Laku Emas",1,"gr",2501000,2574000,"IDR","2026-06-08",""
"lakuemas","gold","Laku Emas",1,"gr",2510000,2583000,"IDR","2026-06-09",""
"lakuemas","gold","Laku Emas",1,"gr",2426000,2499000,"IDR","2026-06-10",""
"lakuemas","gold","Laku Emas",1,"gr",2331000,2404000,"IDR","2026-06-11",""
"lakuemas","gold","Laku Emas",1,"gr",2429000,2502000,"IDR","2026-06-12",""
"lakuemas","gold","Laku Emas",1,"gr",2412000,2485000,"IDR","2026-06-13",""
"lakuemas","gold","Laku Emas",1,"gr",2412000,2485000,"IDR","2026-06-14",""
"lakuemas","gold","Laku Emas",1,"gr",2459000,2532000,"IDR","2026-06-15",""
"lakuemas","gold","Laku Emas",1,"gr",2453000,2526000,"IDR","2026-06-16",""
"lakuemas","gold","Laku Emas",1,"gr",2471000,2544000,"IDR","2026-06-17",""
"lakuemas","gold","Laku Emas",1,"gr",2467000,2540000,"IDR","2026-06-18",""
"lakuemas","gold","Laku Emas",1,"gr",2388000,2461000,"IDR","2026-06-19",""
"lakuemas","gold","Laku Emas",1,"gr",2380000,2453000,"IDR","2026-06-20",""
"lakuemas","gold","Laku Emas",1,"gr",2380000,2453000,"IDR","2026-06-21",""
"lakuemas","gold","Laku Emas",1,"gr",2392000,2465000,"IDR","2026-06-22",""
"lakuemas","gold","Laku Emas",1,"gr",2374000,2447000,"IDR","2026-06-23",""
"lakuemas","gold","Laku Emas",1,"gr",2339000,2412000,"IDR","2026-06-24",""
"lakuemas","gold","Laku Emas",1,"gr",2308000,2381000,"IDR","2026-06-25",""
"lakuemas","gold","Laku Emas",1,"gr",2311000,2384000,"IDR","2026-06-26",""
"lakuemas","gold","Laku Emas",1,"gr",2351000,2424000,"IDR","2026-06-27",""
"lakuemas","gold","Laku Emas",1,"gr",2351000,2424000,"IDR","2026-06-28",""
"lakuemas","gold","Laku Emas",1,"gr",2331000,2404000,"IDR","2026-06-29",""
"lakuemas","gold","Laku Emas",1,"gr",2302000,2375000,"IDR","2026-06-30",""
"lakuemas","gold","Laku Emas",1,"gr",2302000,2375000,"IDR","2026-07-01",""
"lakuemas","gold","Laku Emas",1,"gr",2339000,2412000,"IDR","2026-07-02",""
