source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"pegadaian","gold","unknown",0.01,"gram",27010,25920,"IDR","2026-05-22",""
"pegadaian","gold","unknown",0.01,"gram",26920,25840,"IDR","2026-05-23",""
"pegadaian","gold","unknown",0.01,"gram",26800,25720,"IDR","2026-05-24",""
"pegadaian","gold","unknown",0.01,"gram",27060,25970,"IDR","2026-05-25",""
"pegadaian","gold","unknown",0.01,"gram",27060,25970,"IDR","2026-05-26",""
"pegadaian","gold","unknown",0.01,"gram",26950,25870,"IDR","2026-05-27",""
"pegadaian","gold","unknown",0.01,"gram",26870,25790,"IDR","2026-05-28",""
"pegadaian","gold","unknown",0.01,"gram",26540,25340,"IDR","2026-05-29",""
"pegadaian","gold","unknown",0.01,"gram",26850,25770,"IDR","2026-05-30",""
"pegadaian","gold","unknown",0.01,"gram",26820,25470,"IDR","2026-06-03",""
"pegadaian","gold","unknown",0.01,"gram",26750,25540,"IDR","2026-06-04",""
"pegadaian","gold","unknown",0.01,"gram",26800,25720,"IDR","2026-06-05",""
"pegadaian","gold","unknown",0.01,"gram",26430,25100,"IDR","2026-06-06",""
"pegadaian","gold","unknown",0.01,"gram",26430,25100,"IDR","2026-06-07",""
"pegadaian","gold","unknown",0.01,"gram",26430,25100,"IDR","2026-06-08",""
"pegadaian","gold","unknown",0.01,"gram",26490,25160,"IDR","2026-06-09",""
"pegadaian","gold","unknown",0.01,"gram",26180,24870,"IDR","2026-06-10",""
"pegadaian","gold","unknown",0.01,"gram",25760,24470,"IDR","2026-06-11",""
"pegadaian","gold","unknown",0.01,"gram",26120,24810,"IDR","2026-06-12",""
"pegadaian","gold","unknown",0.01,"gram",26120,24810,"IDR","2026-06-13",""
"pegadaian","gold","unknown",0.01,"gram",26120,24810,"IDR","2026-06-14",""
"pegadaian","gold","unknown",0.01,"gram",26120,24810,"IDR","2026-06-15",""
"pegadaian","gold","unknown",0.01,"gram",26330,25270,"IDR","2026-06-16",""
"pegadaian","gold","unknown",0.01,"gram",26400,25340,"IDR","2026-06-17",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-18",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-19",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-20",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-21",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-22",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-23",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-24",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-25",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-26",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-27",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-28",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-29",""
"pegadaian","gold","unknown",0.01,"gram",0,0,"IDR","2026-06-30",""
"pegadaian","gold","unknown",0.01,"gram",25190,23930,"IDR","2026-07-01",""
"pegadaian","gold","unknown",0.01,"gram",25450,24170,"IDR","2026-07-02",""
"pegadaian","gold","unknown",0.01,"gram",25660,24370,"IDR","2026-07-03",""
"pegadaian","gold","unknown",0.01,"gram",25660,24370,"IDR","2026-07-04",""
"pegadaian","gold","unknown",0.01,"gram",25660,24370,"IDR","2026-07-05",""
"pegadaian","gold","unknown",0.01,"gram",25710,24420,"IDR","2026-07-06",""
"pegadaian","gold","unknown",0.01,"gram",25550,24400,"IDR","2026-07-07",""
"pegadaian","gold","unknown",0.01,"gram",25400,24250,"IDR","2026-07-08",""
"pegadaian","gold","unknown",0.01,"gram",25400,24250,"IDR","2026-07-09",""
